n,structure,operation,repeat,batch_size,batch_seconds,seconds_per_operation
50000,DoublyLinkedList,get_middle,1,200,0.1304550999921048,0.0006522754999605241
50000,DoublyLinkedList,get_middle,2,200,0.1267717000009725,0.0006338585000048624
50000,DoublyLinkedList,get_middle,3,200,0.12818650000554044,0.0006409325000277022
50000,DoublyLinkedList,get_middle,4,200,0.12917330001073424,0.0006458665000536711
50000,DoublyLinkedList,get_middle,5,200,0.12656259999494068,0.0006328129999747034
100000,DynamicArray,prepend,1,50,2.068406699996558,0.04136813399993116
100000,DynamicArray,prepend,2,50,2.1166814000025624,0.04233362800005125
100000,DynamicArray,prepend,3,50,2.091223200011882,0.04182446400023764
100000,DynamicArray,prepend,4,50,2.1901305000064895,0.04380261000012979
100000,DynamicArray,prepend,5,50,2.156524800011539,0.04313049600023078
100000,DynamicArray,get_middle,1,200,5.280000914353877e-05,2.6400004571769386e-07
100000,DynamicArray,get_middle,2,200,5.1099996198900044e-05,2.5549998099450023e-07
100000,DynamicArray,get_middle,3,200,5.0699993153102696e-05,2.5349996576551346e-07
100000,DynamicArray,get_middle,4,200,5.020000389777124e-05,2.510000194888562e-07
100000,DynamicArray,get_middle,5,200,5.160000000614673e-05,2.5800000003073364e-07
100000,SinglyLinkedList,prepend,1,50,2.160000440198928e-05,4.320000880397856e-07
100000,SinglyLinkedList,prepend,2,50,2.3600005079060793e-05,4.7200010158121584e-07
100000,SinglyLinkedList,prepend,3,50,2.0799998310394585e-05,4.159999662078917e-07
100000,SinglyLinkedList,prepend,4,50,2.1500003640539944e-05,4.300000728107989e-07
100000,SinglyLinkedList,prepend,5,50,2.2200008970685303e-05,4.4400017941370605e-07
100000,SinglyLinkedList,get_middle,1,200,0.2870818999945186,0.001435409499972593
100000,SinglyLinkedList,get_middle,2,200,0.28190360000007786,0.0014095180000003892
100000,SinglyLinkedList,get_middle,3,200,0.28868720000900794,0.0014434360000450397
100000,SinglyLinkedList,get_middle,4,200,0.29375949999666773,0.0014687974999833386
100000,SinglyLinkedList,get_middle,5,200,0.28000210000027437,0.0014000105000013718
100000,DoublyLinkedList,prepend,1,50,2.7700007194653153e-05,5.54000143893063e-07
100000,DoublyLinkedList,prepend,2,50,2.4600012693554163e-05,4.920002538710833e-07
100000,DoublyLinkedList,prepend,3,50,2.469999890308827e-05,4.939999780617654e-07
100000,DoublyLinkedList,prepend,4,50,2.1799991372972727e-05,4.3599982745945454e-07
100000,DoublyLinkedList,prepend,5,50,2.260001201648265e-05,4.5200024032965304e-07
100000,DoublyLinkedList,get_middle,1,200,0.2758670000039274,0.0013793350000196368
100000,DoublyLinkedList,get_middle,2,200,0.2718001000030199,0.0013590005000150996
100000,DoublyLinkedList,get_middle,3,200,0.27556530000583734,0.0013778265000291866
100000,DoublyLinkedList,get_middle,4,200,0.27095289999851957,0.001354764499992598
100000,DoublyLinkedList,get_middle,5,200,0.26528600000892766,0.0013264300000446383
